external_code,hub_code,name,slug,category,description,condition,status,deposit_eur,max_loan_days,replacement_cost_eur,estimated_waste_kg,tags,acquired_at
ITM-000001,HUB-MAD-001,Taladro percutor 18V,taladro-percutor-18v-itm-000001,tools,"Taladro percutor 18V revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,retired,0,3,35,1.2,tools|centro|excellent,2024-10-01
ITM-000002,HUB-MAD-002,Vajilla para 24 personas,vajilla-para-24-personas-itm-000002,kitchen,"Vajilla para 24 personas revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,4,52,2.5,kitchen|centro|good,2024-10-04
ITM-000003,HUB-MAD-003,Tienda de campaña 3P,tienda-de-campana-3p-itm-000003,outdoor,"Tienda de campaña 3P revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,5,69,3.8,outdoor|arganzuela|good,2024-10-07
ITM-000004,HUB-MAD-004,Bicicleta urbana,bicicleta-urbana-itm-000004,mobility,"Bicicleta urbana revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,6,86,5.1,mobility|chamberí|fair,2024-10-10
ITM-000005,HUB-MAD-005,Proyector portátil,proyector-portatil-itm-000005,events,"Proyector portátil revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,103,6.4,events|tetuán|excellent,2024-10-13
ITM-000006,HUB-MAD-006,Escáner documental,escaner-documental-itm-000006,technology,"Escáner documental revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,3,120,7.7,technology|carabanchel|good,2024-10-16
ITM-000007,HUB-MAD-007,Lijadora orbital,lijadora-orbital-itm-000007,tools,"Lijadora orbital revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,4,137,9,tools|usera|good,2024-10-19
ITM-000008,HUB-MAD-008,Robot de cocina,robot-de-cocina-itm-000008,kitchen,"Robot de cocina revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,5,154,1.8,kitchen|puente de vallecas|fair,2024-10-22
ITM-000009,HUB-MAD-009,Mochila de trekking 50L,mochila-de-trekking-50l-itm-000009,outdoor,"Mochila de trekking 50L revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,6,171,3.1,outdoor|retiro|excellent,2024-10-25
ITM-000010,HUB-MAD-010,Carrito de carga plegable,carrito-de-carga-plegable-itm-000010,mobility,"Carrito de carga plegable revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,7,188,4.4,mobility|hortaleza|good,2024-10-28
ITM-000011,HUB-MAD-011,Altavoz autoamplificado,altavoz-autoamplificado-itm-000011,events,"Altavoz autoamplificado revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,3,205,5.7,events|latina|good,2024-10-31
ITM-000012,HUB-MAD-012,Kit de podcast,kit-de-podcast-itm-000012,technology,"Kit de podcast revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,4,222,7,technology|moncloa-aravaca|fair,2024-11-03
ITM-000013,HUB-MAD-001,Caja de herramientas,caja-de-herramientas-itm-000013,tools,"Caja de herramientas revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,5,239,8.3,tools|centro|excellent,2024-11-06
ITM-000014,HUB-MAD-002,Olla de gran capacidad,olla-de-gran-capacidad-itm-000014,kitchen,"Olla de gran capacidad revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,6,256,9.6,kitchen|centro|good,2024-11-09
ITM-000015,HUB-MAD-003,Mesa de camping,mesa-de-camping-itm-000015,outdoor,"Mesa de camping revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,7,273,2.4,outdoor|arganzuela|good,2024-11-12
ITM-000016,HUB-MAD-004,Silla infantil para bici,silla-infantil-para-bici-itm-000016,mobility,"Silla infantil para bici revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,3,50,3.7,mobility|chamberí|fair,2024-11-15
ITM-000017,HUB-MAD-005,Guirnalda exterior,guirnalda-exterior-itm-000017,events,"Guirnalda exterior revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,4,67,5,events|tetuán|excellent,2024-11-18
ITM-000018,HUB-MAD-006,Cámara instantánea,camara-instantanea-itm-000018,technology,"Cámara instantánea revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,5,84,6.3,technology|carabanchel|good,2024-11-21
ITM-000019,HUB-MAD-007,Hidrolimpiadora compacta,hidrolimpiadora-compacta-itm-000019,tools,"Hidrolimpiadora compacta revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,6,101,7.6,tools|usera|good,2024-11-24
ITM-000020,HUB-MAD-008,Máquina de pasta,maquina-de-pasta-itm-000020,kitchen,"Máquina de pasta revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,7,118,8.9,kitchen|puente de vallecas|fair,2024-11-27
ITM-000021,HUB-MAD-009,Prismáticos 10x42,prismaticos-10x42-itm-000021,outdoor,"Prismáticos 10x42 revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,3,135,1.7,outdoor|retiro|excellent,2024-11-30
ITM-000022,HUB-MAD-010,Bomba de pie,bomba-de-pie-itm-000022,mobility,"Bomba de pie revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,4,152,3,mobility|hortaleza|good,2024-12-03
ITM-000023,HUB-MAD-011,Carpa plegable 3x3,carpa-plegable-3x3-itm-000023,events,"Carpa plegable 3x3 revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,5,169,4.3,events|latina|good,2024-12-06
ITM-000024,HUB-MAD-012,Medidor láser,medidor-laser-itm-000024,technology,"Medidor láser revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,6,186,5.6,technology|moncloa-aravaca|fair,2024-12-09
ITM-000025,HUB-MAD-001,Sierra de calar,sierra-de-calar-itm-000025,tools,"Sierra de calar revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,203,6.9,tools|centro|excellent,2024-12-12
ITM-000026,HUB-MAD-002,Batidora de vaso,batidora-de-vaso-itm-000026,kitchen,"Batidora de vaso revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,3,220,8.2,kitchen|centro|good,2024-12-15
ITM-000027,HUB-MAD-003,Saco de dormir,saco-de-dormir-itm-000027,outdoor,"Saco de dormir revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,4,237,9.5,outdoor|arganzuela|good,2024-12-18
ITM-000028,HUB-MAD-004,Kit reparación de bici,kit-reparacion-de-bici-itm-000028,mobility,"Kit reparación de bici revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,5,254,2.3,mobility|chamberí|fair,2024-12-21
ITM-000029,HUB-MAD-005,Pack de 30 sillas,pack-de-30-sillas-itm-000029,events,"Pack de 30 sillas revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,6,271,3.6,events|tetuán|excellent,2024-12-24
ITM-000030,HUB-MAD-006,Tablet gráfica,tablet-grafica-itm-000030,technology,"Tablet gráfica revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,maintenance,0,7,48,4.9,technology|carabanchel|good,2024-12-27
ITM-000031,HUB-MAD-007,Taladro percutor 18V,taladro-percutor-18v-itm-000031,tools,"Taladro percutor 18V revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,3,65,6.2,tools|usera|good,2024-12-30
ITM-000032,HUB-MAD-008,Vajilla para 24 personas,vajilla-para-24-personas-itm-000032,kitchen,"Vajilla para 24 personas revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,4,82,7.5,kitchen|puente de vallecas|fair,2025-01-02
ITM-000033,HUB-MAD-009,Tienda de campaña 3P,tienda-de-campana-3p-itm-000033,outdoor,"Tienda de campaña 3P revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,5,99,8.8,outdoor|retiro|excellent,2025-01-05
ITM-000034,HUB-MAD-010,Bicicleta urbana,bicicleta-urbana-itm-000034,mobility,"Bicicleta urbana revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,6,116,1.6,mobility|hortaleza|good,2025-01-08
ITM-000035,HUB-MAD-011,Proyector portátil,proyector-portatil-itm-000035,events,"Proyector portátil revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,7,133,2.9,events|latina|good,2025-01-11
ITM-000036,HUB-MAD-012,Escáner documental,escaner-documental-itm-000036,technology,"Escáner documental revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,3,150,4.2,technology|moncloa-aravaca|fair,2025-01-14
ITM-000037,HUB-MAD-001,Lijadora orbital,lijadora-orbital-itm-000037,tools,"Lijadora orbital revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,4,167,5.5,tools|centro|excellent,2025-01-17
ITM-000038,HUB-MAD-002,Robot de cocina,robot-de-cocina-itm-000038,kitchen,"Robot de cocina revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,5,184,6.8,kitchen|centro|good,2025-01-20
ITM-000039,HUB-MAD-003,Mochila de trekking 50L,mochila-de-trekking-50l-itm-000039,outdoor,"Mochila de trekking 50L revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,6,201,8.1,outdoor|arganzuela|good,2025-01-23
ITM-000040,HUB-MAD-004,Carrito de carga plegable,carrito-de-carga-plegable-itm-000040,mobility,"Carrito de carga plegable revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,7,218,9.4,mobility|chamberí|fair,2025-01-26
ITM-000041,HUB-MAD-005,Altavoz autoamplificado,altavoz-autoamplificado-itm-000041,events,"Altavoz autoamplificado revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,3,235,2.2,events|tetuán|excellent,2025-01-29
ITM-000042,HUB-MAD-006,Kit de podcast,kit-de-podcast-itm-000042,technology,"Kit de podcast revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,4,252,3.5,technology|carabanchel|good,2025-02-01
ITM-000043,HUB-MAD-007,Caja de herramientas,caja-de-herramientas-itm-000043,tools,"Caja de herramientas revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,5,269,4.8,tools|usera|good,2025-02-04
ITM-000044,HUB-MAD-008,Olla de gran capacidad,olla-de-gran-capacidad-itm-000044,kitchen,"Olla de gran capacidad revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,6,46,6.1,kitchen|puente de vallecas|fair,2025-02-07
ITM-000045,HUB-MAD-009,Mesa de camping,mesa-de-camping-itm-000045,outdoor,"Mesa de camping revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,63,7.4,outdoor|retiro|excellent,2025-02-10
ITM-000046,HUB-MAD-010,Silla infantil para bici,silla-infantil-para-bici-itm-000046,mobility,"Silla infantil para bici revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,3,80,8.7,mobility|hortaleza|good,2025-02-13
ITM-000047,HUB-MAD-011,Guirnalda exterior,guirnalda-exterior-itm-000047,events,"Guirnalda exterior revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,4,97,1.5,events|latina|good,2025-02-16
ITM-000048,HUB-MAD-012,Cámara instantánea,camara-instantanea-itm-000048,technology,"Cámara instantánea revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,retired,0,5,114,2.8,technology|moncloa-aravaca|fair,2025-02-19
ITM-000049,HUB-MAD-001,Hidrolimpiadora compacta,hidrolimpiadora-compacta-itm-000049,tools,"Hidrolimpiadora compacta revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,6,131,4.1,tools|centro|excellent,2025-02-22
ITM-000050,HUB-MAD-002,Máquina de pasta,maquina-de-pasta-itm-000050,kitchen,"Máquina de pasta revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,7,148,5.4,kitchen|centro|good,2025-02-25
ITM-000051,HUB-MAD-003,Prismáticos 10x42,prismaticos-10x42-itm-000051,outdoor,"Prismáticos 10x42 revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,3,165,6.7,outdoor|arganzuela|good,2025-02-28
ITM-000052,HUB-MAD-004,Bomba de pie,bomba-de-pie-itm-000052,mobility,"Bomba de pie revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,4,182,8,mobility|chamberí|fair,2025-03-03
