external_code,name,slug,district,neighborhood,address,postal_code,latitude,longitude,opening_hours,contact_email,manager_email,is_active,created_at
HUB-MAD-001,Nodo Malasaña,nodo-malasana,Centro,Universidad,"Calle Nodo Norte, 12",28004,40.4251,-3.7071,L-V 10:00-20:00 · S 10:00-14:00,hola.malasana@renodo.example,elena-ortega.0003@renodo.example,true,2024-09-01T09:00:00.000Z
HUB-MAD-002,Nodo Lavapiés,nodo-lavapies,Centro,Embajadores,"Pasaje Red Vecinal, 18",28012,40.4098,-3.7009,L-V 09:00-19:30 · S 10:00-14:00,hola.lavapies@renodo.example,nora-navarro.0004@renodo.example,true,2024-09-08T09:00:00.000Z
HUB-MAD-003,Nodo Palos de Moguer,nodo-palos-de-moguer,Arganzuela,Palos de Moguer,"Calle Taller Abierto, 7",28045,40.4035,-3.6942,L-V 09:00-19:30 · S 10:00-14:00,hola.palos-de-moguer@renodo.example,bruno-prieto.0005@renodo.example,true,2024-09-15T09:00:00.000Z
HUB-MAD-004,Nodo Trafalgar,nodo-trafalgar,Chamberí,Trafalgar,"Plaza del Intercambio, 4",28010,40.4322,-3.7012,L-V 10:00-20:00 · S 10:00-14:00,hola.trafalgar@renodo.example,leo-lopez.0006@renodo.example,true,2024-09-22T09:00:00.000Z
HUB-MAD-005,Nodo Bellas Vistas,nodo-bellas-vistas,Tetuán,Bellas Vistas,"Calle Enlace, 23",28039,40.4532,-3.7048,L-V 09:00-19:30 · S 10:00-14:00,hola.bellas-vistas@renodo.example,laia-ortega.0007@renodo.example,true,2024-09-29T09:00:00.000Z
HUB-MAD-006,Nodo Opañel,nodo-opanel,Carabanchel,Opañel,"Avenida de la Vuelta, 31",28019,40.3869,-3.7248,L-V 09:00-19:30 · S 10:00-14:00,hola.opanel@renodo.example,irene-molina.0008@renodo.example,true,2024-10-06T09:00:00.000Z
HUB-MAD-007,Nodo Almendrales,nodo-almendrales,Usera,Almendrales,"Calle Segunda Vida, 16",28026,40.3841,-3.6987,L-V 10:00-20:00 · S 10:00-14:00,hola.almendrales@renodo.example,ines-romero.0009@renodo.example,true,2024-10-13T09:00:00.000Z
HUB-MAD-008,Nodo Numancia,nodo-numancia,Puente de Vallecas,Numancia,"Calle Mano a Mano, 9",28038,40.4018,-3.6554,L-V 09:00-19:30 · S 10:00-14:00,hola.numancia@renodo.example,alvaro-vidal.0010@renodo.example,true,2024-10-20T09:00:00.000Z
HUB-MAD-009,Nodo Pacífico,nodo-pacifico,Retiro,Pacífico,"Calle Estación Circular, 5",28007,40.4048,-3.6754,L-V 09:00-19:30 · S 10:00-14:00,hola.pacifico@renodo.example,leo-navarro.0011@renodo.example,true,2024-10-27T09:00:00.000Z
HUB-MAD-010,Nodo Canillas,nodo-canillas,Hortaleza,Canillas,"Calle Caja Común, 21",28043,40.4632,-3.6348,L-V 10:00-20:00 · S 10:00-14:00,hola.canillas@renodo.example,alvaro-campos.0012@renodo.example,true,2024-11-03T09:00:00.000Z
HUB-MAD-011,Nodo Puerta del Ángel,nodo-puerta-del-angel,Latina,Puerta del Ángel,"Paseo del Reuso, 14",28011,40.4135,-3.7294,L-V 09:00-19:30 · S 10:00-14:00,hola.puerta-del-angel@renodo.example,carmen-navarro.0013@renodo.example,true,2024-11-10T09:00:00.000Z
HUB-MAD-012,Nodo Argüelles,nodo-arguelles,Moncloa-Aravaca,Argüelles,"Calle Red Abierta, 6",28008,40.4296,-3.7141,L-V 09:00-19:30 · S 10:00-14:00,hola.arguelles@renodo.example,mario-molina.0014@renodo.example,true,2024-11-17T09:00:00.000Z
